source_file,section,metric_label,date,value_raw,value_num,is_percent,is_total
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-01,1.386666667,1386666667.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-02,0.6866666667,6866666667.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-03,0.84,84.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-04,0.8466666667,8466666667.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-05,1.073333333,1073333333.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-06,1.186666667,1186666667.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-07,0,0.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-08,0,0.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-09,0,0.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-10,0,0.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-11,0,0.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-12,0,0.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-13,0,0.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-14,0,0.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-15,0.24,24.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-16,0.16,16.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-17,0.4666666667,4666666667.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-18,1.133333333,1133333333.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-19,0.9,9.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-20,0,0.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-21,0.3266666667,3266666667.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-22,0.22,22.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-23,0.1733333333,1733333333.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-24,0.3066666667,3066666667.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-25,0.9533333333,9533333333.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-26,0.76,76.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-27,0,0.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-28,0.2733333333,2733333333.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-29,0.5533333333,5533333333.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-30,0.4,4.0,False,False
